name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,drs_uri,sample_id,study_name,file_type
20180919_23-23-14-446_Toxicity Fig S6,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/4f941c99-d10f-5b21-8a20-9e57075d4668,74055680,caNanoLab Data,CSV
20210630_17-51-41-094_Immune Cell Abundances (mRNA) cell scores,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/1ab4db15-1512-51e0-a7ae-a2b63f59cf39,101318665,caNanoLab Data,CSV
20220119_19-19-08-463_SI table-Nanoparticle tumor delivery efficiency_csvfinal,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/cfca1756-e74c-5121-a1e7-5d8f2f153fe2,108134409,caNanoLab Data,CSV
20231128_16-11-39-408_cytokines,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/56cd0904-68cd-571b-8b3e-8d4827a82178,115900508,caNanoLab Data,CSV
20231128_16-11-39-408_cytokines,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/d00ced91-c5e1-5b8a-843d-df96332decc6,115900510,caNanoLab Data,CSV
20231128_16-11-39-408_cytokines,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/8b219b39-b12c-5094-94da-db0ef4bfa490,115900509,caNanoLab Data,CSV
20231204_18-57-16-397_calreticulin expression normalized MFI values,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/8c7b45e4-4234-5f23-959d-042e2d020567,115900511,caNanoLab Data,CSV
20231220_16-41-21-868_imaging features of the primary UrC-ADC tumors,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/8ed6390f-3643-5099-81b7-ef2a1968f657,115900512,caNanoLab Data,CSV
20240826_15-26-30-370_Table 1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/a6c3def7-497e-578c-becb-c64e86ba14f4,115900541,caNanoLab Data,CSV
20241206_15-47-19-363_tumor,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/681ae36a-9283-5e88-9753-778dea212b03,115900549,caNanoLab Data,CSV
20250724_22-35-56-439_Panel 4F - circRNA_VLP_Transfection_trial1.wsp FlowJo table,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/22732845-62a8-5894-8952-aafcd247d016,115900594,caNanoLab Data,CSV
20250724_22-37-13-188_Panel 4F - circRNA_VLP_Transfection_trial3.5.wsp FlowJo table,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/41170706-01ab-54c1-8756-2125e58a941c,115900594,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/28e9673d-0c9c-5230-8f54-4f1f29504b1b,96075801,caNanoLab Data,CSV
