name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,ic50,ec50,cell_line,exposure_time_h
CuO,CuO,12.8,7.6,74.2,,literature_mined,,,,RAW264.7,24.0
ZnO,ZnO,22.6,28.8,47.4,,literature_mined,,,,BEAS-2B,24.0
ZnO,ZnO,22.6,28.8,47.4,,literature_mined,,,,BEAS-2B,24.0
ZnO,ZnO,22.6,28.8,47.4,,literature_mined,,,,RAW264.7,24.0
Mn2O3,Mn2O3,51.5,-46.1,25.9,,literature_mined,,,,RAW264.7,24.0
ZnO,ZnO,22.6,28.8,47.4,,literature_mined,,,,BEAS-2B,24.0
ZnO,ZnO,22.6,28.8,47.4,,literature_mined,,,,RAW264.7,24.0
ZnO,ZnO,22.6,28.8,47.4,,literature_mined,,,,BEAS-2B,24.0
CoO,CoO,71.8,21.6,13.0,,literature_mined,,,,BEAS-2B,24.0
ZnO,ZnO,22.6,28.8,47.4,,literature_mined,,,,RAW264.7,24.0
CuO,CuO,12.8,7.6,74.2,,literature_mined,,,,RAW264.7,24.0
ZnO,ZnO,22.6,28.8,47.4,,literature_mined,,,,BEAS-2B,24.0
CuO,CuO,12.8,7.6,74.2,,literature_mined,,,,BEAS-2B,24.0
Mn2O3,Mn2O3,51.5,-46.1,25.9,,literature_mined,,,,BEAS-2B,24.0
CuO,CuO,12.8,7.6,74.2,,literature_mined,,,,RAW264.7,24.0
Mn2O3,Mn2O3,51.5,-46.1,25.9,,literature_mined,,,,RAW264.7,24.0
Mn2O3,Mn2O3,51.5,-46.1,25.9,,literature_mined,,,,BEAS-2B,24.0
ZnO,ZnO,22.6,28.8,47.4,,literature_mined,,,,RAW264.7,24.0
Mn2O3,Mn2O3,51.5,-46.1,25.9,,literature_mined,,,,BEAS-2B,24.0
CoO,CoO,71.8,21.6,13.0,,literature_mined,,,,RAW264.7,24.0
Mn2O3,Mn2O3,51.5,-46.1,25.9,,literature_mined,,,,BEAS-2B,24.0
Mn2O3,Mn2O3,51.5,-46.1,25.9,,literature_mined,,,,RAW264.7,24.0
CuO,CuO,12.8,7.6,74.2,,literature_mined,,,,BEAS-2B,24.0
CuO,CuO,12.8,7.6,74.2,,literature_mined,,,,BEAS-2B,24.0
