name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,ic50,ec50,pec50,cell_line,exposure_time_h
s_10.1016_FS_j.toxlet.2009.09.012_PC_26,Aluminum Oxide,,,,,literature_mined,10.1016/j.toxlet.2009.09.012,,,,a_10,
s_10.1016_FS_j.toxlet.2009.09.012_PC_14,Aluminum Oxide,,,,,literature_mined,10.1016/j.toxlet.2009.09.012,,,,a_j,
s_10.1016_FS_j.toxlet.2009.09.012_PC_15,Aluminum Oxide,,,,,literature_mined,10.1016/j.toxlet.2009.09.012,,,,a_j,
s_10.1016_FS_j.toxlet.2009.09.012_PC_16,Aluminum Oxide,,,,,literature_mined,10.1016/j.toxlet.2009.09.012,,,,a_j,
s_10.1016_FS_j.toxlet.2009.09.012_PC_17,Aluminum Oxide,,,,,literature_mined,10.1016/j.toxlet.2009.09.012,,,,a_j,
s_10.1016_FS_j.toxlet.2009.09.012_PC_18,Aluminum Oxide,,,,,literature_mined,10.1016/j.toxlet.2009.09.012,,,,a_j,
s_10.1016_FS_j.toxlet.2009.09.012_PC_19,Aluminum Oxide,,,,,literature_mined,10.1016/j.toxlet.2009.09.012,,,,a_j,
s_10.1016_FS_j.toxlet.2009.09.012_PC_20,Aluminum Oxide,,,,,literature_mined,10.1016/j.toxlet.2009.09.012,,,,a_j,
s_10.1016_FS_j.toxlet.2009.09.012_PC_21,Aluminum Oxide,,,,,literature_mined,10.1016/j.toxlet.2009.09.012,,,,a_j,
s_10.1016_FS_j.toxlet.2009.09.012_PC_22,Aluminum Oxide,,,,,literature_mined,10.1016/j.toxlet.2009.09.012,,,,a_j,
s_10.1016_FS_j.toxlet.2009.09.012_PC_23,Aluminum Oxide,,,,,literature_mined,10.1016/j.toxlet.2009.09.012,,,,a_j,
s_10.1016_FS_j.toxlet.2009.09.012_PC_24,Aluminum Oxide,,,,,literature_mined,10.1016/j.toxlet.2009.09.012,,,,a_j,
