name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,ic50,ec50,pec50,cell_line,exposure_time_h
Au 13 nm,Gold,13.0,,0.0,,nanoreg_mined,,,,,,
Unknown Nanomaterial,Nanomaterial,,,0.0,,nanoreg_mined,,,,,,
Unknown Nanomaterial,Nanomaterial,,,9.0,,nanoreg_mined,,,,,,
NM-101 (TiO2 6 nm),Titanium Dioxide,6.0,,316.0,,nanoreg_mined,,,,,,
NM-102 (TiO2 21-22 nm),Titanium Dioxide,22.0,,66.0,,nanoreg_mined,,,,,,
Unknown Nanomaterial,Nanomaterial,,,51.0,,nanoreg_mined,,,,,,
Unknown Nanomaterial,Nanomaterial,,,46.0,,nanoreg_mined,,,,,,
NM-110 (ZnO 147 nm),Zinc Oxide,147.0,,14.0,,nanoreg_mined,,,,,,
NM-111 (ZnO 141 nm),Zinc Oxide,141.0,,18.0,,nanoreg_mined,,,,,,
NM-200 (silica 18.3 nm),Silicon Dioxide,18.3,,189.0,,nanoreg_mined,,,,,,
NM-203 (SiO2 13-45 nm),Silicon Dioxide,45.0,,204.0,,nanoreg_mined,,,,,,
Unknown Nanomaterial,Nanomaterial,,,28.0,,nanoreg_mined,,,,,,
NM-400 (MWCNT 13.6 nm),Multi-Walled Carbon Nanotube,13.6,,254.0,,nanoreg_mined,,,,,,
NM-401 (MWCNT 64.2 nm),Multi-Walled Carbon Nanotube,64.2,,18.0,,nanoreg_mined,,,,,,
NM-402 (MWCNT 12.7 nm),Multi-Walled Carbon Nanotube,12.7,,226.0,,nanoreg_mined,,,,,,
NM-403 (MWCNT 12 nm),Multi-Walled Carbon Nanotube,12.0,,189.0,,nanoreg_mined,,,,,,
NM-600 (Bentonite 288 nm),Nanomaterial,288.0,,52.0,,nanoreg_mined,,,,,,
Unknown Nanomaterial,Nanomaterial,,,233.0,,nanoreg_mined,,,,,,
MWCNT 15 nm,Multi-Walled Carbon Nanotube,15.0,,233.0,,nanoreg_mined,,,,,,
Unknown Nanomaterial,Nanomaterial,,,110.0,,nanoreg_mined,,,,,,
Unknown Nanomaterial,Nanomaterial,,,500.0,,nanoreg_mined,,,,,,
MWCNT 42217 nm,Multi-Walled Carbon Nanotube,42217.0,,233.0,,nanoreg_mined,,,,,,
MWCNT 20-30 nm,Multi-Walled Carbon Nanotube,30.0,,110.0,,nanoreg_mined,,,,,,
NM-100 (TiO2 110 nm),Titanium Dioxide,110.0,,9.0,,nanoreg_mined,,,,,,
NM-103 (TiO2 24.7 nm),Titanium Dioxide,24.7,,51.0,,nanoreg_mined,,,,,,
NM-203 (silica 24.7 nm),Silicon Dioxide,24.7,,204.0,,nanoreg_mined,,,,,,
NM-212 (CeO2 33 nm),Cerium Dioxide,33.0,,28.0,,nanoreg_mined,,,,,,
BaSO4 25 nm,Barium Sulfate,25.0,,38.0,,nanoreg_mined,,,,,,
TiO2 (bimodal) 50 nm,Titanium Dioxide,50.0,,99.0,,nanoreg_mined,,,,,,
TiO2 80 nm,Titanium Dioxide,80.0,,5.1,,nanoreg_mined,,,,,,
graphite 4 nm,Nanomaterial,4.0,,225.0,,nanoreg_mined,,,,,,
MWCNT 74 nm,Multi-Walled Carbon Nanotube,74.0,,22.0,,nanoreg_mined,,,,,,
Unknown Nanomaterial,Nanomaterial,,,65.1,,nanoreg_mined,,,,,,
Ag 42.5 nm,Silver,42.5,,0.03,,nanoreg_mined,,,,,,
CaCO3 40 nm,Nanomaterial,40.0,,11.6,,nanoreg_mined,,,,,,
CaCO3 40 nm,Nanomaterial,40.0,,21.6,,nanoreg_mined,,,,,,
CaCO3 40 nm,Nanomaterial,40.0,,25.8,,nanoreg_mined,,,,,,
CaCO3 40 nm,Nanomaterial,40.0,,26.2,,nanoreg_mined,,,,,,
CaCO3 40 nm,Nanomaterial,40.0,,31.9,,nanoreg_mined,,,,,,
CaCO3 40 nm,Nanomaterial,40.0,,27.6,,nanoreg_mined,,,,,,
CaCO3 40 nm,Nanomaterial,40.0,,20.8,,nanoreg_mined,,,,,,
Fe2O3 60 nm,Nanomaterial,60.0,,27.7,,nanoreg_mined,,,,,,
Fe2O3 40 nm,Nanomaterial,40.0,,27.4,,nanoreg_mined,,,,,,
Unknown Nanomaterial,Nanomaterial,,,104.0,,nanoreg_mined,,,,,,
Unknown Nanomaterial,Nanomaterial,,,87.7,,nanoreg_mined,,,,,,
Unknown Nanomaterial,Nanomaterial,,,68.9,,nanoreg_mined,,,,,,
TiO2 63 nm,Titanium Dioxide,63.0,,0.0,,nanoreg_mined,,,,,,
Silica 120 nm,Silicon Dioxide,120.0,,8.0,,nanoreg_mined,,,,,,
Silica 120 nm,Silicon Dioxide,120.0,,10.0,,nanoreg_mined,,,,,,
Silica 120 nm,Silicon Dioxide,120.0,,11.0,,nanoreg_mined,,,,,,
Silica 120 nm,Silicon Dioxide,120.0,,4.0,,nanoreg_mined,,,,,,
Silica 120 nm,Silicon Dioxide,120.0,,1.0,,nanoreg_mined,,,,,,
NM-100 (TiO2 110 nm),Titanium Dioxide,110.0,,10.2,,nanoreg_mined,,,,,,
NM-100 (TiO2 110 nm),Titanium Dioxide,110.0,,5.5,,nanoreg_mined,,,,,,
NM-100 (TiO2 110 nm),Titanium Dioxide,110.0,,4.7,,nanoreg_mined,,,,,,
NM-101 (TiO2 6 nm),Titanium Dioxide,6.0,,316.9,,nanoreg_mined,,,,,,
NM-101 (TiO2 6 nm),Titanium Dioxide,6.0,,56.6,,nanoreg_mined,,,,,,
NM-101 (TiO2 6 nm),Titanium Dioxide,6.0,,260.3,,nanoreg_mined,,,,,,
NM-103 (TiO2 24.7 nm),Titanium Dioxide,24.7,,52.2,,nanoreg_mined,,,,,,
NM-103 (TiO2 24.7 nm),Titanium Dioxide,24.7,,18.1,,nanoreg_mined,,,,,,
