substance_name,jrc_id,topcategory,endpointcategory,endpoint,value_numeric,unit,text_value,reference,source_type,provenance_note
Ag 20 nm,Ag @ IIT,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,20.0,nm,20 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Au 13 nm,Au@PBPK,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,13.0,nm,13 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,140.0,nm,140-200 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,50.0,nm,50-150 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,50.0,nm,50-150 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,6.0,nm,6 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-102 (TiO2 21-22 nm),JRCNM01002a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,21.0,nm,21-22 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,24.7,nm,24.7 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,23.4,nm,23.4 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-110 (ZnO 147 nm),JRCNM01100a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,147.0,nm,147 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-111 (ZnO 141 nm),JRCNM01101a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,141.0,nm,141 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-200 (silica 18.3 nm),JRCNM02000a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,18.3,nm,18.3 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-203 (SiO2 13-45 nm),JRCNM02003a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,13.0,nm,13-45 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,33.0,nm,33 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-400 (MWCNT 13.6 nm),JRCNM04000a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,13.6,nm,13.6 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-401 (MWCNT 64.2 nm),JRCNM04001a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,64.2,nm,64.2 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-402 (MWCNT 12.7 nm),JRCNM04002a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,12.7,nm,12.7 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-403 (MWCNT 12 nm),JRCNM04003a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,12.0,nm,12 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-600 (Bentonite 288 nm),JRCNM06000a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,288.0,nm,288 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,58.0,nm,58 nm (CLS),,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,15.0,nm,15 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
MWCNT 15 nm,JRCNM40002a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,15.0,nm,15 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,20.0,nm,20-30 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,0.0,nm,<8 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
MWCNT 42217 nm,JRCNM40005a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,42217.0,nm,42217 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
MWCNT 20-30 nm,JRCNM40006a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,20.0,nm,20-30 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,8.0,nm,8 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,42217.0,nm,42217 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
MWCNT 20-30 nm,JRCNM40009a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,20.0,nm,20-30 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,0.0,nm,<8 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,2.0,nm,2-15 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Nanofibrillar cellulose 3-> nm,NFC Medium-coarse,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,3.0,nm,3-> nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,110.0,nm,110 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,110.0,nm,110 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,6.0,nm,6 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-103 (TiO2 24.7 nm),JRCNM01003a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,24.7,nm,24.7 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-103 (TiO2 24.7 nm),JRCNM01003a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,24.7,nm,24.7 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
