name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,ic50,ec50,pec50,cell_line,exposure_time_h,hydrosize,dosage,e,NOxygen,class
Al2O3,Al2O3,39.7,36.3,64.7,,literature_mined,,,-1.51,,,24.0,267.0,0.001,1.61,3.0,nonToxic
Al2O3,Al2O3,39.7,36.3,64.7,,literature_mined,,,-1.51,,,24.0,267.0,0.01,1.61,3.0,nonToxic
Al2O3,Al2O3,39.7,36.3,64.7,,literature_mined,,,-1.51,,,24.0,267.0,0.1,1.61,3.0,nonToxic
Al2O3,Al2O3,39.7,36.3,64.7,,literature_mined,,,-1.51,,,24.0,267.0,1.0,1.61,3.0,nonToxic
Al2O3,Al2O3,39.7,36.3,64.7,,literature_mined,,,-1.51,,,24.0,267.0,5.0,1.61,3.0,nonToxic
Al2O3,Al2O3,39.7,36.3,64.7,,literature_mined,,,-1.51,,,24.0,267.0,10.0,1.61,3.0,nonToxic
Al2O3,Al2O3,39.7,36.3,64.7,,literature_mined,,,-1.51,,,24.0,267.0,20.0,1.61,3.0,nonToxic
Al2O3,Al2O3,39.7,36.3,64.7,,literature_mined,,,-1.51,,,24.0,267.0,50.0,1.61,3.0,nonToxic
Al2O3,Al2O3,39.7,36.3,64.7,,literature_mined,,,-1.51,,,24.0,267.0,100.0,1.61,3.0,nonToxic
Al2O3,Al2O3,39.7,36.3,64.7,,literature_mined,,,-1.51,,,12.0,267.0,0.001,1.61,3.0,nonToxic
Al2O3,Al2O3,39.7,36.3,64.7,,literature_mined,,,-1.51,,,12.0,267.0,0.01,1.61,3.0,nonToxic
Al2O3,Al2O3,39.7,36.3,64.7,,literature_mined,,,-1.51,,,12.0,267.0,0.1,1.61,3.0,nonToxic
Al2O3,Al2O3,39.7,36.3,64.7,,literature_mined,,,-1.51,,,12.0,267.0,1.0,1.61,3.0,nonToxic
Al2O3,Al2O3,39.7,36.3,64.7,,literature_mined,,,-1.51,,,12.0,267.0,5.0,1.61,3.0,nonToxic
Al2O3,Al2O3,39.7,36.3,64.7,,literature_mined,,,-1.51,,,12.0,267.0,10.0,1.61,3.0,nonToxic
Al2O3,Al2O3,39.7,36.3,64.7,,literature_mined,,,-1.51,,,12.0,267.0,20.0,1.61,3.0,nonToxic
Al2O3,Al2O3,39.7,36.3,64.7,,literature_mined,,,-1.51,,,12.0,267.0,50.0,1.61,3.0,nonToxic
Al2O3,Al2O3,39.7,36.3,64.7,,literature_mined,,,-1.51,,,12.0,267.0,100.0,1.61,3.0,nonToxic
CuO,CuO,46.3,42.8,24.1,,literature_mined,,,-5.17,,,24.0,239.0,0.001,1.9,1.0,nonToxic
CuO,CuO,46.3,42.8,24.1,,literature_mined,,,-5.17,,,24.0,239.0,0.01,1.9,1.0,nonToxic
CuO,CuO,46.3,42.8,24.1,,literature_mined,,,-5.17,,,24.0,239.0,0.1,1.9,1.0,nonToxic
CuO,CuO,46.3,42.8,24.1,,literature_mined,,,-5.17,,,24.0,239.0,1.0,1.9,1.0,nonToxic
CuO,CuO,46.3,42.8,24.1,,literature_mined,,,-5.17,,,24.0,239.0,5.0,1.9,1.0,nonToxic
CuO,CuO,46.3,42.8,24.1,,literature_mined,,,-5.17,,,24.0,239.0,10.0,1.9,1.0,Toxic
CuO,CuO,46.3,42.8,24.1,,literature_mined,,,-5.17,,,24.0,239.0,20.0,1.9,1.0,Toxic
CuO,CuO,46.3,42.8,24.1,,literature_mined,,,-5.17,,,24.0,239.0,50.0,1.9,1.0,Toxic
CuO,CuO,46.3,42.8,24.1,,literature_mined,,,-5.17,,,24.0,239.0,100.0,1.9,1.0,Toxic
CuO,CuO,46.3,42.8,24.1,,literature_mined,,,-5.17,,,12.0,239.0,0.001,1.9,1.0,nonToxic
CuO,CuO,46.3,42.8,24.1,,literature_mined,,,-5.17,,,12.0,239.0,0.01,1.9,1.0,nonToxic
CuO,CuO,46.3,42.8,24.1,,literature_mined,,,-5.17,,,12.0,239.0,0.1,1.9,1.0,nonToxic
CuO,CuO,46.3,42.8,24.1,,literature_mined,,,-5.17,,,12.0,239.0,1.0,1.9,1.0,nonToxic
CuO,CuO,46.3,42.8,24.1,,literature_mined,,,-5.17,,,12.0,239.0,5.0,1.9,1.0,nonToxic
CuO,CuO,46.3,42.8,24.1,,literature_mined,,,-5.17,,,12.0,239.0,10.0,1.9,1.0,nonToxic
CuO,CuO,46.3,42.8,24.1,,literature_mined,,,-5.17,,,12.0,239.0,20.0,1.9,1.0,Toxic
CuO,CuO,46.3,42.8,24.1,,literature_mined,,,-5.17,,,12.0,239.0,50.0,1.9,1.0,Toxic
CuO,CuO,46.3,42.8,24.1,,literature_mined,,,-5.17,,,12.0,239.0,100.0,1.9,1.0,Toxic
Fe2O3,Fe2O3,42.5,-8.2,82.8,,literature_mined,,,-4.99,,,24.0,957.0,0.001,1.83,3.0,nonToxic
Fe2O3,Fe2O3,42.5,-8.2,82.8,,literature_mined,,,-4.99,,,24.0,957.0,0.01,1.83,3.0,nonToxic
Fe2O3,Fe2O3,42.5,-8.2,82.8,,literature_mined,,,-4.99,,,24.0,957.0,0.1,1.83,3.0,nonToxic
Fe2O3,Fe2O3,42.5,-8.2,82.8,,literature_mined,,,-4.99,,,24.0,957.0,1.0,1.83,3.0,nonToxic
Fe2O3,Fe2O3,42.5,-8.2,82.8,,literature_mined,,,-4.99,,,24.0,957.0,5.0,1.83,3.0,nonToxic
Fe2O3,Fe2O3,42.5,-8.2,82.8,,literature_mined,,,-4.99,,,24.0,957.0,10.0,1.83,3.0,nonToxic
Fe2O3,Fe2O3,42.5,-8.2,82.8,,literature_mined,,,-4.99,,,24.0,957.0,20.0,1.83,3.0,nonToxic
Fe2O3,Fe2O3,42.5,-8.2,82.8,,literature_mined,,,-4.99,,,24.0,957.0,50.0,1.83,3.0,nonToxic
Fe2O3,Fe2O3,42.5,-8.2,82.8,,literature_mined,,,-4.99,,,24.0,957.0,100.0,1.83,3.0,nonToxic
Fe2O3,Fe2O3,42.5,-8.2,82.8,,literature_mined,,,-4.99,,,12.0,957.0,0.001,1.83,3.0,nonToxic
Fe2O3,Fe2O3,42.5,-8.2,82.8,,literature_mined,,,-4.99,,,12.0,957.0,0.01,1.83,3.0,nonToxic
Fe2O3,Fe2O3,42.5,-8.2,82.8,,literature_mined,,,-4.99,,,12.0,957.0,0.1,1.83,3.0,nonToxic
Fe2O3,Fe2O3,42.5,-8.2,82.8,,literature_mined,,,-4.99,,,12.0,957.0,1.0,1.83,3.0,nonToxic
Fe2O3,Fe2O3,42.5,-8.2,82.8,,literature_mined,,,-4.99,,,12.0,957.0,5.0,1.83,3.0,nonToxic
Fe2O3,Fe2O3,42.5,-8.2,82.8,,literature_mined,,,-4.99,,,12.0,957.0,10.0,1.83,3.0,nonToxic
Fe2O3,Fe2O3,42.5,-8.2,82.8,,literature_mined,,,-4.99,,,12.0,957.0,20.0,1.83,3.0,nonToxic
Fe2O3,Fe2O3,42.5,-8.2,82.8,,literature_mined,,,-4.99,,,12.0,957.0,50.0,1.83,3.0,nonToxic
Fe2O3,Fe2O3,42.5,-8.2,82.8,,literature_mined,,,-4.99,,,12.0,957.0,100.0,1.83,3.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,24.0,504.5,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,24.0,504.5,20.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,24.0,504.5,40.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,24.0,504.5,60.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,24.0,504.5,80.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,24.0,504.5,100.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,24.0,504.5,120.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,24.0,504.5,150.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,6.0,504.5,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,6.0,504.5,20.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,6.0,504.5,40.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,6.0,504.5,60.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,6.0,504.5,80.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,6.0,504.5,100.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,6.0,504.5,120.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,6.0,504.5,150.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,3.0,504.5,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,3.0,504.5,20.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,3.0,504.5,40.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,3.0,504.5,60.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,3.0,504.5,80.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,3.0,504.5,100.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,3.0,504.5,120.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,3.0,504.5,150.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,24.0,504.5,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,24.0,504.5,20.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,24.0,504.5,40.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,24.0,504.5,60.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,24.0,504.5,80.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,24.0,504.5,100.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,24.0,504.5,120.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,24.0,504.5,150.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,6.0,504.5,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,210.0,,literature_mined,,,-4.16,,,6.0,504.5,20.0,1.54,2.0,nonToxic
