name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,ic50,ec50,pec50,cell_line,exposure_time_h
Field2011 Batch1 M1,Nanomaterial,286.0,,,,literature_mined,,,,,,
Field2011 Batch2 M1,Nanomaterial,283.0,,,,literature_mined,,,,,,
Field2011 Batch3 M1,Nanomaterial,150.0,,,,literature_mined,,,,,,
Cho2012 NM1 M1,Metal Oxide,81.0,,,,literature_mined,,,,,,
Cho2012 NM2 M1,Metal Oxide,65.0,,,,literature_mined,,,,,,
Cho2012 NM3 M1,Metal Oxide,88.0,,,,literature_mined,,,,,,
Cho2012 NM4 M1,Metal Oxide,132.0,,,,literature_mined,,,,,,
Cho2012 NM5 M1,Metal Oxide,185.0,,,,literature_mined,,,,,,
Cho2012 NM6 M1,Metal Oxide,173.0,,,,literature_mined,,,,,,
Cho2012 NM7 M1,Metal Oxide,112.0,,,,literature_mined,,,,,,
Cho2012 NM8 M1,Metal Oxide,99.0,,,,literature_mined,,,,,,
Cho2012 NM9 M1,Metal Oxide,116.0,,,,literature_mined,,,,,,
Cho2012 NM10 M1,Metal Oxide,92.0,,,,literature_mined,,,,,,
Cho2012 NM11 M1,Metal Oxide,378.0,,,,literature_mined,,,,,,
Cho2012 NM12 M1,Metal Oxide,105.0,,,,literature_mined,,,,,,
Cho2012 NM13 M1,Metal Oxide,119.0,,,,literature_mined,,,,,,
Cho2012 NM14 M1,Metal Oxide,306.0,,,,literature_mined,,,,,,
Cho2012 NM15 M1,Metal Oxide,282.0,,,,literature_mined,,,,,,
Rancan2012 M1 M1,Nanomaterial,42.0,,,,literature_mined,,,,,,
Rancan2012 M1 M2,Nanomaterial,110.0,,,,literature_mined,,,,,,
Rancan2012 M1 M3,Nanomaterial,,,,,literature_mined,,,-22.0,,,
Rancan2012 M2 M1,Nanomaterial,75.0,,,,literature_mined,,,,,,
Rancan2012 M3 M1,Nanomaterial,190.0,,,,literature_mined,,,,,,
Rancan2012 M4 M1,Nanomaterial,291.0,,,,literature_mined,,,,,,
Rancan2012 M2 M2,Nanomaterial,101.0,,,,literature_mined,,,,,,
Rancan2012 M3 M2,Nanomaterial,206.0,,,,literature_mined,,,,,,
Rancan2012 M4 M2,Nanomaterial,331.0,,,,literature_mined,,,,,,
Rancan2012 C1,Nanomaterial,,,,,literature_mined,,,7.0,5.154901959985743,,
Rancan2012 M1 M3 C1,Nanomaterial,,,,,literature_mined,,,7.0,5.154901959985743,,
Rancan2012 M2 M3,Nanomaterial,,,,,literature_mined,,,-45.0,,,
Rancan2012 M3 M3,Nanomaterial,,,,,literature_mined,,,-56.0,,,
Rancan2012 M4 M3,Nanomaterial,,,,,literature_mined,,,-48.0,,,
Rancan2012 M5 M3,Nanomaterial,,,,,literature_mined,,,12.0,4.920818753952375,,
Rancan2012 M6 M3,Nanomaterial,,,,,literature_mined,,,11.0,4.958607314841775,,
Rancan2012 M7 M3,Nanomaterial,,,,,literature_mined,,,10.0,5.0,,
Rancan2012 M8 M3,Nanomaterial,,,,,literature_mined,,,10.0,5.0,,
Zhang2013 M24 M1,Nanomaterial,40.1,,,,literature_mined,,,,,,
Zhang2013 M23 M1,Nanomaterial,22.5,,,,literature_mined,,,,,,
Zhang2013 M22 M1,Nanomaterial,61.7,,,,literature_mined,,,,,,
Zhang2013 M21 M1,Nanomaterial,32.7,,,,literature_mined,,,,,,
Zhang2013 M20 M1,Nanomaterial,16.6,,,,literature_mined,,,,,,
Zhang2013 M1 M1,Nanomaterial,14.7,,,,literature_mined,,,,,,
Zhang2013 M2 M1,Nanomaterial,12.8,,,,literature_mined,,,,,,
Zhang2013 M3 M1,Nanomaterial,18.3,,,,literature_mined,,,,,,
Zhang2013 M4 M1,Nanomaterial,10.0,,,,literature_mined,,,,,,
Zhang2013 M5 M1,Nanomaterial,71.8,,,,literature_mined,,,,,,
Zhang2013 M6 M1,Nanomaterial,193.0,,,,literature_mined,,,,,,
Zhang2013 M7 M1,Nanomaterial,12.3,,,,literature_mined,,,,,,
Zhang2013 M8 M1,Nanomaterial,12.0,,,,literature_mined,,,,,,
Zhang2013 M9 M1,Nanomaterial,43.8,,,,literature_mined,,,,,,
Zhang2013 M10 M1,Nanomaterial,28.4,,,,literature_mined,,,,,,
Zhang2013 M11 M1,Nanomaterial,59.6,,,,literature_mined,,,,,,
Zhang2013 M12 M1,Nanomaterial,24.6,,,,literature_mined,,,,,,
Zhang2013 M13 M1,Nanomaterial,51.5,,,,literature_mined,,,,,,
Zhang2013 M14 M1,Nanomaterial,13.1,,,,literature_mined,,,,,,
Zhang2013 M15 M1,Nanomaterial,140.6,,,,literature_mined,,,,,,
Zhang2013 M16 M1,Nanomaterial,11.8,,,,literature_mined,,,,,,
