name,material_type,core_size_nm,zeta_potential_mv,zeta_potential_flagged,surface_area_m2g,coating,source_type,doi,ic50,ec50,pec50,cell_line,exposure_time_h
TiO2_0.1Ag_0.1Pd,TiO2-based,,,,79.0,,literature_mined,,,,5.56,CHO-K1,24.0
TiO2_0.1Ag,TiO2-based,,,,61.0,,literature_mined,,,,5.6,CHO-K1,24.0
TiO2_0.1Ag_0.1Au,TiO2-based,,,,106.5,,literature_mined,,,,5.67,CHO-K1,24.0
TiO2_0.1Ag_0.5Pd,TiO2-based,,,,77.5,,literature_mined,,,,5.7,CHO-K1,24.0
TiO2_0.5Ag,TiO2-based,,,,91.0,,literature_mined,,,,5.83,CHO-K1,24.0
TiO2_0.1Ag_0.1Pt_0.1Pd,TiO2-based,,,,89.0,,literature_mined,,,,5.86,CHO-K1,24.0
TiO2_0.1Ag_0.1Pt_0.1Au,TiO2-based,,,,94.0,,literature_mined,,,,5.88,CHO-K1,24.0
TiO2_0.1Ag_0.1Au_0.1Pd,TiO2-based,,,,85.0,,literature_mined,,,,5.88,CHO-K1,24.0
TiO2_0.1Ag_0.1Pt,TiO2-based,,,,92.0,,literature_mined,,,,5.92,CHO-K1,24.0
TiO2_0.1Pt_0.1Au_0.1Pd,TiO2-based,,,,94.0,,literature_mined,,,,5.92,CHO-K1,24.0
TiO2_0.1Ag_0.5Pt,TiO2-based,,,,112.5,,literature_mined,,,,5.97,CHO-K1,24.0
TiO2_0.1Ag_0.1Pt_0.1Au_0.1Pd,TiO2-based,,,,94.0,,literature_mined,,,,6.02,CHO-K1,24.0
TiO2_0.1Ag_0.5Au,TiO2-based,,,,103.0,,literature_mined,,,,6.05,CHO-K1,24.0
TiO2_1.5Ag,TiO2-based,,,,89.0,,literature_mined,,,,6.23,CHO-K1,24.0
TiO2_0.5Ag_0.1Au,TiO2-based,,,,112.0,,literature_mined,,,,6.25,CHO-K1,24.0
TiO2_0.5Ag_0.1Pt,TiO2-based,,,,94.0,,literature_mined,,,,6.29,CHO-K1,24.0
TiO2_0.5Ag_0.1Pd,TiO2-based,,,,77.5,,literature_mined,,,,6.46,CHO-K1,24.0
TiO2_1.5Ag_0.1Au,TiO2-based,,,,90.2,,literature_mined,,,,6.58,CHO-K1,24.0
TiO2_1.5Ag_0.1Pt,TiO2-based,,,,94.0,,literature_mined,,,,6.63,CHO-K1,24.0
TiO2_2.5Ag,TiO2-based,,,,91.0,,literature_mined,,,,6.76,CHO-K1,24.0
TiO2_1.5Ag_0.1Pd,TiO2-based,,,,77.5,,literature_mined,,,,6.77,CHO-K1,24.0
TiO2_2.5Ag_0.1Au,TiO2-based,,,,79.0,,literature_mined,,,,6.8,CHO-K1,24.0
TiO2_2.5Ag_0.5Pd,TiO2-based,,,,98.0,,literature_mined,,,,6.88,CHO-K1,24.0
TiO2_2.5Ag_0.5Au,TiO2-based,,,,90.4,,literature_mined,,,,7.01,CHO-K1,24.0
TiO2_2.5Ag_0.1Pt,TiO2-based,,,,86.0,,literature_mined,,,,7.07,CHO-K1,24.0
TiO2_2.5Ag_0.5Pt,TiO2-based,,,,119.0,,literature_mined,,,,7.1,CHO-K1,24.0
TiO2_2.5Ag_0.1Pd,TiO2-based,,,,98.0,,literature_mined,,,,7.2,CHO-K1,24.0
TiO2_4.5Ag,TiO2-based,,,,67.5,,literature_mined,,,,7.4,CHO-K1,24.0
TiO2_4.5Ag_0.5Au,TiO2-based,,,,111.4,,literature_mined,,,,7.41,CHO-K1,24.0
