name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,ic50,ec50,cell_line,exposure_time_h,raw_classification
Fe3O4,Mixture,,,,,literature_mined,,,,"Amphiascus tenuiremis, Marinobacter hydrocarbonoclasticus",,in vivo
C60 fullerenes,Mixture,,,,,literature_mined,,,,Mytilus galloprovincialis,,in vivo
Fe3O4,Mixture,,,,,literature_mined,,,,Anguilla anguilla,,in vitro
C60 fullerenes,Mixture,,,,,literature_mined,,,,Danio rerio,,in vitro
ZnO,Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Mytilus galloprovincialis,,in vitro
C60 fullerenes,Mixture,,,,,literature_mined,,,,"Pseudokirchneriella subcapitata, Daphnia magna",,in vivo
C60 fullerenes,Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Mytilus galloprovincialis,,in vitro
MWCNT,Mixture,,,,,literature_mined,,,,"Pimephales promelas, Daphnia magna",,in vivo
ZnO,Mixture,,,,,literature_mined,,,,Homosapien,,in vitro
CNT,Mixture,,,,,literature_mined,,,,Spartina alterniflora,,in vivo
"Ag, ZnO, TiO2",Mixture,,,,,literature_mined,,,,Medicago truncatula,,in vivo
ZnO,Mixture,,,,,literature_mined,,,,Vibrio fischeri,,in vitro
CeO2,Mixture,,,,,literature_mined,,,,Escherichia coli,,in vitro
SWCNT,Mixture,,,,,literature_mined,,,,Mycobacterium vanbaalenii,,in vitro
SWCNT,Mixture,,,,,literature_mined,,,,"Mus musculus, Homosapien",,in vitro
TiO2; Al2O3,Mixture,,,,,literature_mined,,,,Scenedesmus obliquus,,in vivo
Au,Mixture,,,,,literature_mined,,,,Tetraselmis chuii,,in vivo
Ag,Mixture,,,,,literature_mined,,,,"Cucurbita pepo, Glycine max, Solanum lycopersicum",,in vivo
"C60 fullerenes, MWCNT",Mixture,,,,,literature_mined,,,,"Cucurbita pepo, Glycine max, Solanum lycopersicum, Zea mays",,in vivo
